type,b_price,b_amount,type,s_price,s_amount
b,9186,1.08,s,10045.4,0.013
b,9184.6,1,s,10050,0.566
b,9182,0.18,s,10050.5,0.5
b,9181,0.2,s,10058,0.09
b,9180,3.267,s,10059.1,0.3
b,9178.4,0.05,s,10063.7,0.003
b,9176.5,0.02,s,10065,0.2
b,9176,0.003,s,10067,0.8
b,9175,2.055,s,10068,3.918
b,9173,0.5,s,10069,2
b,9171,0.227,s,10069.8,0.001
b,9170.4,0.003,s,10070,0.02
b,9170,2.701,s,10074,1
b,9169,0.625,s,10075,0.05
b,9167,0.03,s,10081.2,0.01
b,9166,3.025,s,10085.9,2.584
b,9165,0.03,s,10086,0.4
b,9162,1.4,s,10090,0.025
b,9161.1,0.01,s,10097,0.016
b,9161,0.2,s,10098.9,0.3
b,9160.7,0.01,s,10099,0.1
b,9160,2.118,s,10100,3.11
b,9159,0.26,s,10101,15
b,9158,0.062,s,10101.1,0.003
b,9157.8,2,s,10114.6,0.025
b,9157.7,0.15,s,10118.1,0.013
b,9157.6,1,s,10120,0.25
b,9157.5,0.11,s,10125,0.11
b,9156,1.52,s,10130,0.292
b,9155.5,15.05,s,10132.5,0.536
b,9155,26.975,s,10136,0.003
b,9154,0.3,s,10143,1
b,9153,1.5,s,10144,0.009
b,9152.7,0.05,s,10150,1.86
b,9152,1.9,s,10151.2,0.03
b,9151.9,0.334,s,10159,2.147
b,9151.3,0.028,s,10173,10
b,9151,1.646,s,10175,0.081
b,9150.9,0.02,s,10180,0.029
b,9150.8,0.08,s,10184.9,15.99
b,9150,33.866,s,10185,0.058
b,9148.3,0.5,s,10187.3,0.045
b,9148,0.035,s,10188,0.79
b,9147,0.41,s,10190.5,10
b,9146.2,0.345,s,10190.9,0.013
b,9146,0.403,s,10194.9,0.006
b,9145.2,0.547,s,10199,0.099
b,9145,0.25,s,10200,57.401
b,9144,0.5,s,10201,1
b,9143.3,0.12,s,10202.7,0.003
b,9141,0.2,s,10205,0.45
b,9140.2,0.05,s,10206.7,0.013
b,9140,5.181,s,10210,1
b,9138.5,0.01,s,10213,3
b,9138,1.25,s,10221,3.01
b,9137,1,s,10225,0.049
b,9136,0.1,s,10229,0.2
b,9135,0.65,s,10229.5,0.054
b,9134,0.3,s,10230,0.05
b,9133.3,0.05,s,10236,0.028
b,9133.1,0.015,s,10238,0.15
b,9133,10,s,10240,0.2
b,9132,1.646,s,10242.6,0.051
b,9131,10.35,s,10243.3,0.01
b,9130,16.231,s,10249.8,0.05
b,9129,0.01,s,10250,44.481
b,9128.2,0.028,s,10250.7,0.902
b,9127,11.593,s,10251,0.5
b,9126.7,0.05,s,10255,0.2
b,9126.6,1,s,10260.4,0.51
b,9126,4.448,s,10262.9,1
b,9125,5.698,s,10263.6,0.013
b,9124,0.01,s,10267,0.171
b,9122.4,0.25,s,10270.8,0.05
b,9122.2,0.05,s,10272,1.962
b,9122,1,s,10272.6,0.03
b,9121,1.283,s,10275,0.049
b,9120,2.191,s,10280,1.178
b,9119.5,0.01,s,10281.4,0.03
b,9117.5,0.01,s,10287,0.5
b,9117.4,0.01,s,10287.3,0.025
b,9117,0.01,s,10287.8,0.011
